iter	Passed	Remaining
0	173	173484
1	307	153533
2	438	145801
3	582	144978
4	703	140073
5	825	136786
6	955	135532
7	1108	137482
8	1246	137247
9	1377	136420
10	1506	135485
11	1628	134046
12	1747	132675
13	1862	131143
14	1983	130229
15	2098	129077
16	2215	128126
17	2346	128031
18	2477	127920
19	2611	127942
20	2766	128992
21	2892	128601
22	3027	128622
23	3146	127946
24	3264	127319
25	3399	127342
26	3540	127582
27	3698	128376
28	3821	127962
29	3940	127421
30	4066	127110
31	4192	126810
32	4321	126620
33	4438	126116
34	4556	125632
35	4675	125194
36	4801	124962
37	4932	124871
38	5059	124662
39	5171	124117
40	5288	123707
41	5413	123472
42	5532	123135
43	5648	122733
44	5759	122219
45	5868	121714
46	5983	121315
47	6098	120962
48	6219	120711
49	6336	120390
50	6447	119965
51	6567	119722
52	6676	119300
53	6788	118924
54	6926	119007
55	7038	118648
56	7158	118430
57	7271	118092
58	7373	117599
59	7489	117335
60	7603	117044
61	7718	116768
62	7836	116559
63	7947	116232
64	8054	115857
65	8169	115604
66	8280	115315
67	8395	115069
68	8506	114769
69	8620	114525
70	8737	114325
71	8859	114194
72	8966	113865
73	9077	113592
74	9184	113273
75	9296	113025
76	9409	112791
77	9525	112597
78	9630	112275
79	9741	112028
80	9860	111878
81	9962	111527
82	10079	111364
83	10194	111171
84	10304	110929
85	10418	110725
86	10527	110476
87	10642	110295
88	10755	110096
89	10870	109910
90	10983	109716
91	11096	109521
92	11216	109386
93	11328	109190
94	11428	108869
95	11535	108624
96	11646	108420
97	11765	108287
98	11865	107984
99	11975	107776
100	12091	107623
101	12188	107307
102	12300	107119
103	12412	106936
104	12528	106792
105	12636	106574
106	12745	106371
107	12850	106135
108	12957	105916
109	13055	105632
110	13164	105436
111	13266	105182
112	13369	104941
113	13475	104731
114	13591	104598
115	13696	104378
116	13794	104106
117	13902	103917
118	14014	103751
119	14131	103631
120	14249	103514
121	14356	103321
122	14468	103162
123	14575	102969
124	14676	102737
125	14778	102512
126	14886	102328
127	15003	102209
128	15107	102003
129	15213	101811
130	15337	101741
131	15454	101622
132	15557	101416
133	15679	101330
134	15776	101084
135	15875	100855
136	15999	100787
137	16100	100572
138	16200	100348
139	16295	100101
140	16383	99808
141	16486	99616
142	16607	99526
143	16714	99359
144	16812	99134
145	16916	98949
146	17033	98839
147	17157	98768
148	17269	98633
149	17384	98511
150	17489	98336
151	17610	98250
152	17721	98104
153	17825	97926
154	17956	97889
155	18065	97738
156	18180	97616
157	18297	97510
158	18408	97367
159	18524	97255
160	18636	97118
161	18735	96917
162	18845	96768
163	18959	96648
164	19058	96445
165	19160	96261
166	19264	96094
167	19368	95918
168	19466	95719
169	19566	95530
170	19677	95393
171	19779	95216
172	19888	95073
173	19992	94904
174	20117	94837
175	20255	94830
176	20379	94758
177	20480	94577
178	20606	94513
179	20718	94385
180	20847	94334
181	20976	94278
182	21094	94175
183	21213	94076
184	21325	93946
185	21445	93854
186	21559	93732
187	21749	93937
188	21952	94198
189	22136	94371
190	22317	94527
191	22543	94868
192	22745	95108
193	22920	95226
194	23092	95328
195	23278	95487
196	23478	95701
197	23662	95845
198	23840	95962
199	24020	96080
200	24245	96379
201	24432	96522
202	24608	96615
203	24788	96723
204	24981	96880
205	25158	96970
206	25332	97046
207	25511	97138
208	25690	97228
209	25894	97414
210	26110	97637
211	26275	97666
212	26459	97764
213	26636	97834
214	26813	97901
215	27040	98148
216	27213	98193
217	27427	98386
218	27615	98482
219	27809	98598
220	28011	98738
221	28248	98996
222	28468	99191
223	28660	99287
224	28875	99461
225	29084	99608
226	29296	99762
227	29500	99889
228	29710	100028
229	29907	100125
230	30106	100224
231	30287	100263
232	30496	100391
233	30962	101357
234	31282	101834
235	31521	102042
236	31724	102133
237	31948	102289
238	32168	102427
239	32385	102555
240	32586	102626
241	32814	102782
242	33018	102859
243	33243	103001
244	33442	103058
245	33654	103151
246	33884	103299
247	34084	103352
248	34283	103401
249	34507	103521
250	34680	103488
251	34841	103418
252	34960	103224
253	35072	103007
254	35180	102782
255	35295	102576
256	35400	102343
257	35508	102120
258	35616	101898
259	35715	101651
260	35827	101441
261	35927	101199
262	36032	100973
263	36165	100825
264	36295	100669
265	36398	100438
266	36507	100224
267	36613	100003
268	36712	99765
269	36826	99566
270	36939	99368
271	37044	99148
272	37165	98971
273	37264	98738
274	37368	98516
275	37501	98374
276	37605	98155
277	37716	97953
278	37814	97720
279	37915	97496
280	38020	97282
281	38124	97068
282	38228	96854
283	38340	96660
284	38453	96471
285	38578	96310
286	38688	96113
287	38815	95959
288	38936	95791
289	39064	95641
290	39177	95454
291	39303	95297
292	39442	95172
293	39554	94984
294	39668	94800
295	39786	94627
296	39896	94435
297	40020	94277
298	40116	94051
299	40226	93862
300	40348	93698
301	40455	93502
302	40574	93333
303	40694	93169
304	40798	92967
305	40912	92788
306	41024	92606
307	41143	92438
308	41257	92261
309	41362	92064
310	41466	91865
311	41574	91677
312	41692	91510
313	41797	91316
314	41895	91106
315	42008	90929
316	42129	90770
317	42239	90589
318	42344	90397
319	42452	90210
320	42564	90034
321	42668	89843
322	42768	89641
323	42877	89459
324	42978	89263
325	43081	89070
326	43190	88889
327	43294	88701
328	43399	88513
329	43503	88324
330	43613	88149
331	43725	87976
332	43842	87817
333	43959	87655
334	44063	87468
335	44184	87317
336	44301	87156
337	44418	86997
338	44530	86827
339	44626	86628
340	44738	86459
341	44852	86294
342	44964	86127
343	45088	85982
344	45190	85796
345	45314	85651
346	45423	85480
347	45559	85359
348	45682	85213
349	45797	85052
350	45906	84880
351	46015	84711
352	46130	84551
353	46237	84377
354	46360	84232
355	46480	84082
356	46592	83919
357	46719	83782
358	46837	83629
359	46956	83477
360	47073	83323
361	47176	83145
362	47285	82977
363	47408	82834
364	47530	82690
365	47667	82572
366	47795	82438
367	47921	82300
368	48041	82151
369	48159	82000
370	48276	81849
371	48382	81678
372	48500	81527
373	48617	81376
374	48747	81245
375	48877	81116
376	48996	80968
377	49124	80834
378	49259	80712
379	49392	80587
380	49550	80503
381	49668	80353
382	49791	80213
383	49899	80047
384	50009	79884
385	50112	79712
386	50219	79546
387	50326	79380
388	50449	79240
389	50556	79076
390	50669	78920
391	50784	78767
392	50899	78616
393	51004	78449
394	51102	78271
395	51219	78123
396	51321	77951
397	51424	77783
398	51527	77614
399	51654	77482
400	51776	77342
401	51880	77174
402	51984	77009
403	52089	76845
404	52211	76706
405	52317	76543
406	52434	76397
407	52546	76244
408	52663	76098
409	52796	75975
410	52900	75811
411	53011	75656
412	53128	75512
413	53232	75348
414	53343	75194
415	53453	75040
416	53574	74901
417	53695	74762
418	53816	74623
419	53933	74479
420	54041	74322
421	54155	74174
422	54256	74009
423	54365	73855
424	54465	73688
425	54578	73540
426	54689	73389
427	54788	73222
428	54887	73055
429	54988	72891
430	55105	72749
431	55204	72583
432	55312	72429
433	55421	72277
434	55519	72111
435	55619	71947
436	55731	71800
437	55828	71633
438	55935	71480
439	56042	71326
440	56140	71162
441	56238	70997
442	56336	70833
443	56437	70674
444	56542	70519
445	56640	70355
446	56738	70193
447	56843	70039
448	56940	69875
449	57042	69718
450	57139	69555
451	57259	69421
452	57368	69272
453	57464	69109
454	57562	68948
455	57671	68801
456	57777	68650
457	57880	68496
458	57988	68348
459	58091	68193
460	58200	68048
461	58307	67898
462	58407	67742
463	58515	67595
464	58627	67453
465	58750	67323
466	58873	67193
467	58980	67045
468	59077	66887
469	59171	66725
470	59277	66577
471	59404	66452
472	59505	66299
473	59613	66152
474	59730	66017
475	59827	65860
476	59931	65710
477	60036	65563
478	60139	65412
479	60246	65266
480	60353	65121
481	60458	64973
482	60578	64843
483	60703	64717
484	60825	64587
485	60944	64456
486	61076	64337
487	61181	64190
488	61293	64050
489	61409	63916
490	61512	63767
491	61618	63622
492	61723	63476
493	61823	63325
494	61927	63178
495	62027	63027
496	62131	62881
497	62231	62730
498	62349	62599
499	62480	62480
500	62616	62366
501	62734	62234
502	62867	62117
503	62993	61993
504	63128	61878
505	63268	61767
506	63413	61662
507	63542	61541
508	63668	61417
509	63800	61298
510	63924	61172
511	64034	61032
512	64161	60909
513	64298	60796
514	64419	60666
515	64551	60548
516	64707	60452
517	64850	60343
518	64957	60201
519	65065	60060
520	65184	59929
521	65308	59803
522	65418	59665
523	65533	59530
524	65636	59385
525	65743	59244
526	65850	59103
527	65953	58958
